month,stock_label,quintile,ew_return,n,holding_month
2015-12,attention,3,-0.3437963481784643,4,2016-01
2015-12,attention,4,-0.2923363641266188,4,2016-01
2015-12,attention,5,-0.2931561656743743,4,2016-01
2015-12,baseline,1,-0.2971706800093235,471,2016-01
2015-12,baseline,2,-0.2945226440695108,472,2016-01
2015-12,baseline,3,-0.2940845301718102,472,2016-01
2015-12,baseline,4,-0.29345556197904243,472,2016-01
2015-12,baseline,5,-0.2956180597826477,471,2016-01
2015-12,information,3,-0.22707595434868166,1,2016-01
2015-12,information,5,0.0,1,2016-01
2016-01,attention,1,0.03346608397140305,6,2016-02
2016-01,attention,2,-0.023078928747148595,7,2016-02
2016-01,attention,3,0.006418709749161829,6,2016-02
2016-01,attention,4,-0.0132278069788556,7,2016-02
2016-01,attention,5,0.014798595948795876,7,2016-02
2016-01,baseline,1,-0.029451555755391892,471,2016-02
2016-01,baseline,2,-0.019161162312670704,472,2016-02
2016-01,baseline,3,-0.014353943576251768,472,2016-02
2016-01,baseline,4,-0.011266438516156316,472,2016-02
2016-01,baseline,5,-0.0156505382328473,472,2016-02
2016-01,information,1,-0.07624427941595563,2,2016-02
2016-01,information,2,-0.12661999106211824,2,2016-02
2016-01,information,3,-0.06962909126459423,3,2016-02
2016-01,information,4,-0.05534368164755887,2,2016-02
2016-01,information,5,0.002317526720664431,3,2016-02
2016-02,attention,1,0.02847064212076522,5,2016-03
2016-02,attention,2,0.08646693190024483,5,2016-03
2016-02,attention,3,0.07122278466087029,5,2016-03
2016-02,attention,4,0.13977074818630414,5,2016-03
2016-02,attention,5,0.1108963587374392,6,2016-03
2016-02,baseline,1,0.20558191325282382,472,2016-03
2016-02,baseline,2,0.20562978694420347,473,2016-03
2016-02,baseline,3,0.2021496933448169,473,2016-03
2016-02,baseline,4,0.18606088279213803,473,2016-03
2016-02,baseline,5,0.18153790481316714,473,2016-03
2016-02,information,1,0.05393586268462325,4,2016-03
2016-02,information,2,0.1817422120195082,5,2016-03
2016-02,information,3,0.14093937152111963,5,2016-03
2016-02,information,4,0.07187075419650177,5,2016-03
2016-02,information,5,0.1293568532768217,5,2016-03
2016-03,attention,1,-0.004101120273875852,4,2016-04
2016-03,attention,2,0.031069432636409794,4,2016-04
2016-03,attention,3,-0.008104644072540102,5,2016-04
2016-03,attention,4,0.0016486861578993428,4,2016-04
2016-03,attention,5,-0.08186764670711635,5,2016-04
2016-03,baseline,1,-0.020786758661501564,485,2016-04
2016-03,baseline,2,-0.010210096268553036,485,2016-04
2016-03,baseline,3,-0.0021057034800784457,485,2016-04
2016-03,baseline,4,0.003271861790758109,485,2016-04
2016-03,baseline,5,-0.00405240082563143,486,2016-04
2016-03,information,1,0.09300699300699278,1,2016-04
2016-03,information,2,-0.07333333333333325,1,2016-04
2016-03,information,3,-0.031465848042977806,1,2016-04
2016-03,information,4,0.03653355989804585,1,2016-04
2016-03,information,5,-0.1285500747384155,1,2016-04
2016-04,attention,1,0.03092169173627603,6,2016-05
2016-04,attention,2,-0.0830302140652186,7,2016-05
2016-04,attention,3,-0.06219206766918985,6,2016-05
2016-04,attention,4,0.09145458803434707,7,2016-05
2016-04,attention,5,-0.025360490480994695,7,2016-05
2016-04,baseline,1,-0.020922577269080395,485,2016-05
2016-04,baseline,2,-0.025296016332575066,485,2016-05
2016-04,baseline,3,-0.010326449339174468,485,2016-05
2016-04,baseline,4,-0.012124961415097153,485,2016-05
2016-04,baseline,5,-0.009383480544983678,486,2016-05
2016-04,information,1,0.0019735017350885897,2,2016-05
2016-04,information,2,-0.12252884729948943,2,2016-05
2016-04,information,3,-0.012910919160919057,3,2016-05
2016-04,information,4,0.016368686361137252,2,2016-05
2016-04,information,5,-0.002413043866224059,3,2016-05
2016-05,attention,1,-0.00631348961642988,5,2016-06
2016-05,attention,2,0.04199807777324001,5,2016-06
2016-05,attention,3,0.09098186838721184,6,2016-06
2016-05,attention,4,0.12072945370823127,5,2016-06
2016-05,attention,5,0.016498735568120888,6,2016-06
2016-05,baseline,1,0.06910925106073418,489,2016-06
2016-05,baseline,2,0.06025722084582861,489,2016-06
2016-05,baseline,3,0.053566116795855157,489,2016-06
2016-05,baseline,4,0.0514309787434954,489,2016-06
2016-05,baseline,5,0.05887040471356517,489,2016-06
2016-05,information,2,0.08082706766917291,1,2016-06
2016-05,information,4,0.07964601769911495,1,2016-06
2016-05,information,5,0.0,1,2016-06
2016-06,attention,1,-0.018415113566151997,7,2016-07
2016-06,attention,2,0.02820730981224581,7,2016-07
2016-06,attention,3,0.02114849713217575,7,2016-07
2016-06,attention,4,-0.009311985169527026,7,2016-07
2016-06,attention,5,-0.07185965868387696,8,2016-07
2016-06,baseline,1,-0.04388198417614026,496,2016-07
2016-06,baseline,2,-0.012221177404541659,496,2016-07
2016-06,baseline,3,0.007066715578442776,496,2016-07
2016-06,baseline,4,0.02396074226178745,496,2016-07
2016-06,baseline,5,0.0007543997743222759,497,2016-07
2016-06,information,1,-0.0877192982456142,1,2016-07
2016-06,information,2,0.06842105263157894,1,2016-07
2016-06,information,3,-0.09897890295358647,2,2016-07
2016-06,information,4,-0.06184798807749625,1,2016-07
2016-06,information,5,-0.07094439410528441,2,2016-07
2016-07,attention,1,0.0360825275312492,19,2016-08
2016-07,attention,2,0.00324729995852423,20,2016-08
2016-07,attention,3,0.0011129482214199515,20,2016-08
2016-07,attention,4,0.029937432636216503,20,2016-08
2016-07,attention,5,0.014944592918758381,20,2016-08
2016-07,baseline,1,0.05236003355618355,488,2016-08
2016-07,baseline,2,0.04708933088218489,488,2016-08
2016-07,baseline,3,0.04919370627518311,488,2016-08
2016-07,baseline,4,0.0499199220437115,488,2016-08
2016-07,baseline,5,0.05074801815308049,488,2016-08
2016-07,information,1,0.0904650620804049,3,2016-08
2016-07,information,2,0.021078253879063553,3,2016-08
2016-07,information,3,0.04223238169298904,3,2016-08
2016-07,information,4,0.028965862540387983,3,2016-08
2016-07,information,5,0.014122648201809335,4,2016-08
2016-08,attention,1,-0.024095879489977497,17,2016-09
2016-08,attention,2,0.024761114202175055,17,2016-09
2016-08,attention,3,0.008350481019674323,17,2016-09
2016-08,attention,4,-0.00939622295700446,17,2016-09
2016-08,attention,5,-0.015998154278712637,17,2016-09
2016-08,baseline,1,-0.014402739122444087,490,2016-09
2016-08,baseline,2,-0.011193128305730441,491,2016-09
2016-08,baseline,3,-0.008209926811250039,491,2016-09
2016-08,baseline,4,-0.007668040948886524,491,2016-09
2016-08,baseline,5,-0.00013038700287776125,491,2016-09
2016-08,information,1,-0.010623974614842569,5,2016-09
2016-08,information,2,0.044004485671593895,6,2016-09
2016-08,information,3,-0.008764256743174225,5,2016-09
2016-08,information,4,-0.01985516215742622,6,2016-09
2016-08,information,5,-0.025223862030364214,6,2016-09
2016-09,attention,1,0.02103795353117115,23,2016-10
2016-09,attention,2,0.014597726579218182,23,2016-10
2016-09,attention,3,0.018437319398745117,24,2016-10
2016-09,attention,4,0.03615093097985071,23,2016-10
2016-09,attention,5,0.011439254518858563,24,2016-10
2016-09,baseline,1,0.04123055252846745,492,2016-10
2016-09,baseline,2,0.03644097213721018,492,2016-10
2016-09,baseline,3,0.0374372353066763,493,2016-10
2016-09,baseline,4,0.034071225818609094,492,2016-10
2016-09,baseline,5,0.031015389632867443,493,2016-10
2016-09,information,3,-0.08994708994708989,1,2016-10
2016-09,information,5,-0.059885512989872325,1,2016-10
2016-10,attention,1,0.009851365101272864,17,2016-11
2016-10,attention,2,0.051307577051952484,17,2016-11
2016-10,attention,3,0.054107765191112406,18,2016-11
2016-10,attention,4,0.016182670028050634,17,2016-11
2016-10,attention,5,0.01307055427548067,18,2016-11
2016-10,baseline,1,0.026082991247027103,490,2016-11
2016-10,baseline,2,0.03701406825905837,491,2016-11
2016-10,baseline,3,0.03437427658178119,490,2016-11
2016-10,baseline,4,0.02211119826500298,491,2016-11
2016-10,baseline,5,0.02354723323286742,491,2016-11
2016-10,information,1,0.025072203148135297,7,2016-11
2016-10,information,2,-0.0026943732464183023,7,2016-11
2016-10,information,3,0.0004837866884266668,7,2016-11
