stock_label,quintile,months,mean_monthly_return,newey_west_t_lag5,mean_stocks,min_stocks,months_n_lt_10
attention,1,186,-0.003549618775483364,-0.5804491887434191,82.16129032258064,1,15
attention,2,186,0.006739042216725755,1.2340199900142605,82.56989247311827,1,15
attention,3,186,0.008436176862755083,1.6125189243595413,82.58064516129032,1,15
attention,4,186,0.010776990671401313,1.9784770630039843,82.56989247311827,1,15
attention,5,186,0.006819344995641516,1.1766507404803888,82.96236559139786,1,15
information,1,168,0.010304396200922586,1.9826533500942582,21.160714285714285,1,53
information,2,176,0.015989838023179385,2.4512508919131064,20.556818181818183,1,57
information,3,177,0.011869675021869171,1.9903585126094674,20.468926553672315,1,60
information,4,176,0.012187032946780365,1.7811136044259317,20.556818181818183,1,57
information,5,185,0.0139962581955873,2.2026057120697637,20.005405405405405,1,64
baseline,1,198,0.0026814852452739647,0.5212458289886593,533.5555555555555,269,0
baseline,2,198,0.010668768786594068,2.183826808152708,534.1515151515151,270,0
baseline,3,198,0.012004525462333479,2.5035323514270615,534.1111111111111,270,0
baseline,4,198,0.01229142703995962,2.5532946298699684,534.1767676767677,270,0
baseline,5,198,0.013059275630067422,2.5767564631224964,534.3686868686868,270,0
