month,holding_month,stock_label,1,2,3,4,5,q5_minus_q1
2010-01,2010-02,baseline,0.06465473971100262,0.07108985248297023,0.06080761319805134,0.05512952457425647,0.05946340703453217,-0.005191332676470449
2010-02,2010-03,baseline,0.025084954522087186,0.04384141728675529,0.035378709443017804,0.02933272540609852,0.043123856872718885,0.0180389023506317
2010-03,2010-04,baseline,-0.08533439638903886,-0.07261178941448085,-0.06180197630235811,-0.064501554879962,-0.059369557240661695,0.025964839148377168
2010-04,2010-05,baseline,-0.08499178017082651,-0.092503524901734,-0.0821378230980674,-0.08776501925952158,-0.08359248880018372,0.0013992913706427912
2010-05,2010-06,baseline,-0.0912069859326413,-0.1000714161013849,-0.09741742330818173,-0.09252321446289491,-0.09545952424272654,-0.004252538310085235
2010-06,2010-07,baseline,0.1707100897604601,0.1630343473982043,0.16155517802817534,0.1539253285021418,0.15018039293185437,-0.020529696828605726
2010-07,2010-08,baseline,0.0859786288316508,0.08461346554957407,0.0854365802654734,0.09595336004966071,0.1002294758388529,0.014250847007202097
2010-08,2010-09,baseline,0.005195538483001665,0.008741794825940202,0.014734625668343567,0.022525448345158967,0.02985856180757509,0.024663023324573423
2010-09,2010-10,baseline,0.07861093959494163,0.07865719436043278,0.09213125007528603,0.12313708473380876,0.12991587346756353,0.0513049338726219
2010-10,2010-11,baseline,-0.03287630818996796,-0.0036551365598021745,0.0018471694654602117,0.02332277560949563,0.0017442644118536937,0.03462057260182165
2010-11,2010-12,baseline,-0.027613768356180405,-0.019733802806494276,-0.015148730475785105,-0.021308692972868717,-0.015158500919292939,0.012455267436887466
2010-12,2011-01,baseline,-0.06581477265392179,-0.05689200173587674,-0.037106720592630295,-0.0411466887864941,-0.0393115373474671,0.026503235306454688
2011-01,2011-02,attention,0.025479024207220796,0.06822606656651121,0.08379046081096354,0.10436790082920651,0.07538952666964496,0.049910502462424164
2011-01,2011-02,baseline,0.10622714361858528,0.10271043319335788,0.0996203367065168,0.1036165043834974,0.09963046475311242,-0.006596678865472855
2011-01,2011-02,information,0.02945286940914029,0.10841305162743328,0.0891652780173315,0.07860467637616715,0.09503537421726334,0.06558250480812305
2011-02,2011-03,attention,-0.012482954364777053,0.010846463217897506,-0.01754231312738721,0.02457028206901678,0.002714003135374857,0.01519695750015191
2011-02,2011-03,baseline,-0.013312133518400533,-0.0004400002346487927,-0.009157920296992266,0.0011202363006858427,-0.016607748546073282,-0.0032956150276727495
2011-02,2011-03,information,-0.09393726604129876,-0.03144645649679256,0.0020093596636806175,-0.060680021500945834,-0.057632712327987355,0.036304553713311406
2011-03,2011-04,attention,-0.008436976247443724,-0.0344761811725125,-0.028409040865780718,-0.0015999674507277883,-0.0031168094165581585,0.0053201668308855655
