month,holding_month,stock_label,quintile,ew_cumulative_return,n,horizon_trading_days
2011-03,2011-04,attention,5,0.0194430607841276,40,1
2011-03,2011-04,baseline,1,0.012298312447270364,269,1
2011-03,2011-04,baseline,2,0.014133885017131363,270,1
2011-03,2011-04,baseline,3,0.01236808465342329,270,1
2011-03,2011-04,baseline,4,0.011086369814981492,270,1
2011-03,2011-04,baseline,5,0.012479781939646419,270,1
2011-03,2011-04,information,1,0.03390455765223919,10,1
2011-03,2011-04,information,2,0.010980116211913183,10,1
2011-03,2011-04,information,3,0.005327527951176669,10,1
2011-03,2011-04,information,4,0.014054599550854575,10,1
2011-03,2011-04,information,5,0.020447511070468348,10,1
2011-04,2011-05,attention,1,0.03117193059013792,19,1
2011-04,2011-05,attention,2,0.02387433436158166,19,1
2011-04,2011-05,attention,3,0.02444134378344227,20,1
2011-04,2011-05,attention,4,0.023651934061020934,19,1
2011-04,2011-05,attention,5,0.014799309320063042,20,1
2011-04,2011-05,baseline,1,0.018463146078301365,288,1
2011-04,2011-05,baseline,2,0.014115246273665798,288,1
2011-04,2011-05,baseline,3,0.01324303001151256,288,1
2011-04,2011-05,baseline,4,0.013568037415203052,288,1
2011-04,2011-05,baseline,5,0.014751201355130368,288,1
2011-04,2011-05,information,1,0.02776222032189769,19,1
2011-04,2011-05,information,2,0.024467705197097716,19,1
2011-04,2011-05,information,3,0.024433863686986232,19,1
2011-04,2011-05,information,4,0.011483153990512187,19,1
2011-04,2011-05,information,5,0.01410883267021508,19,1
2011-05,2011-06,attention,1,0.02893387972929446,7,1
2011-05,2011-06,attention,2,0.010429551927813696,7,1
2011-05,2011-06,attention,3,0.025191387766154642,7,1
2011-05,2011-06,attention,4,0.014469645159150708,7,1
2011-05,2011-06,attention,5,0.0061813275982897575,7,1
2011-05,2011-06,baseline,1,0.01273991537882196,316,1
2011-05,2011-06,baseline,2,0.01070413886679813,316,1
2011-05,2011-06,baseline,3,0.009148115925199644,317,1
2011-05,2011-06,baseline,4,0.009481210672938377,316,1
2011-05,2011-06,baseline,5,0.00986588734830166,317,1
2011-05,2011-06,information,1,0.0017825412816588522,6,1
2011-05,2011-06,information,2,0.013544308136256542,7,1
2011-05,2011-06,information,3,0.005279742670711278,6,1
2011-05,2011-06,information,4,0.00642408198755029,7,1
2011-05,2011-06,information,5,-0.0007922471606682802,7,1
2011-06,2011-07,attention,1,0.012376237623762387,1,1
2011-06,2011-07,attention,2,0.027624309392265234,1,1
2011-06,2011-07,attention,3,-0.011936339522546247,1,1
2011-06,2011-07,attention,4,-0.011630123927550029,1,1
2011-06,2011-07,attention,5,0.00041035769146363643,2,1
2011-06,2011-07,baseline,1,0.005341992265508731,332,1
2011-06,2011-07,baseline,2,0.0044146227011482774,332,1
2011-06,2011-07,baseline,3,0.006674045072282465,332,1
2011-06,2011-07,baseline,4,0.005643677016177424,332,1
2011-06,2011-07,baseline,5,0.0033876406516907902,333,1
2011-06,2011-07,information,1,-0.0024391277253699903,3,1
2011-06,2011-07,information,2,0.020594232520813938,3,1
2011-06,2011-07,information,3,-0.0016175823000159257,3,1
2011-06,2011-07,information,4,-0.006580306619427508,3,1
2011-06,2011-07,information,5,-0.008221346572877819,4,1
2011-07,2011-08,attention,1,-0.0020513802197737797,10,1
2011-07,2011-08,attention,2,0.0013301673941830572,10,1
2011-07,2011-08,attention,3,0.010996564205921959,11,1
2011-07,2011-08,attention,4,0.006312972350360069,10,1
2011-07,2011-08,attention,5,-0.00680027797261883,11,1
2011-07,2011-08,baseline,1,0.005126760455112531,322,1
2011-07,2011-08,baseline,2,0.005567718525907824,323,1
2011-07,2011-08,baseline,3,0.0056707042085217835,322,1
2011-07,2011-08,baseline,4,0.0042622350997821145,323,1
2011-07,2011-08,baseline,5,0.004814799446367997,323,1
2011-07,2011-08,information,1,0.004221285165216619,9,1
2011-07,2011-08,information,2,-0.005787233455085483,10,1
2011-07,2011-08,information,3,0.0005023919615100292,10,1
2011-07,2011-08,information,4,-0.0024360181828029016,10,1
2011-07,2011-08,information,5,0.004662182289930106,10,1
2011-08,2011-09,attention,1,-0.008906639580228875,22,1
2011-08,2011-09,attention,2,-0.0009067601062513089,23,1
2011-08,2011-09,attention,3,-0.0013654520507882517,22,1
2011-08,2011-09,attention,4,-0.010469736930406894,23,1
2011-08,2011-09,attention,5,-0.0009943302415730897,23,1
2011-08,2011-09,baseline,1,-0.0074641383017702845,312,1
2011-08,2011-09,baseline,2,-0.006004321764781255,312,1
2011-08,2011-09,baseline,3,-0.00579939213321638,312,1
2011-08,2011-09,baseline,4,-0.005473135827812292,312,1
2011-08,2011-09,baseline,5,-0.005376138037931539,311,1
2011-08,2011-09,information,1,-0.012521849619333706,15,1
2011-08,2011-09,information,2,-0.016339825240847115,15,1
2011-08,2011-09,information,3,-0.004589514706540863,16,1
2011-08,2011-09,information,4,-0.007121382857930018,15,1
2011-08,2011-09,information,5,-0.006143175595553212,16,1
2011-09,2011-10,attention,1,0.004988408934557572,15,1
2011-09,2011-10,attention,2,0.006473492766833774,16,1
2011-09,2011-10,attention,3,0.00022062205812893864,15,1
2011-09,2011-10,attention,4,0.002749720534382362,16,1
2011-09,2011-10,attention,5,0.006046820511034633,16,1
2011-09,2011-10,baseline,1,-0.00342280734177739,340,1
2011-09,2011-10,baseline,2,-0.0030739779667785087,340,1
2011-09,2011-10,baseline,3,-0.00766224900551282,340,1
2011-09,2011-10,baseline,4,-0.006206247632740707,340,1
2011-09,2011-10,baseline,5,-0.005016117507635905,340,1
2011-09,2011-10,information,3,0.0,1,1
2011-09,2011-10,information,5,-0.007700770077007757,1,1
2011-10,2011-11,attention,1,-0.0078079066458753245,13,1
2011-10,2011-11,attention,2,-0.004244675985118283,13,1
2011-10,2011-11,attention,3,-0.0007353505984256579,14,1
2011-10,2011-11,attention,4,0.0002331888209624258,13,1
2011-10,2011-11,attention,5,-0.006831041284780816,14,1
2011-10,2011-11,baseline,1,-0.00011627585806537987,333,1
2011-10,2011-11,baseline,2,0.0017290330208001587,333,1
2011-10,2011-11,baseline,3,0.00028552410889620135,333,1
2011-10,2011-11,baseline,4,0.0019731245633048244,333,1
2011-10,2011-11,baseline,5,0.002023082391060615,333,1
2011-10,2011-11,information,1,-0.005892980225644935,13,1
2011-10,2011-11,information,2,-0.0008131160718281254,14,1
2011-10,2011-11,information,3,0.0006004760961409749,13,1
2011-10,2011-11,information,4,-0.0013418826181434338,14,1
2011-10,2011-11,information,5,-0.00611954998987405,14,1
2011-11,2011-12,attention,1,0.02209201094639175,43,1
2011-11,2011-12,attention,2,0.020281468817366335,44,1
2011-11,2011-12,attention,3,0.022605975491171878,43,1
2011-11,2011-12,attention,4,0.023038329528051203,44,1
2011-11,2011-12,attention,5,0.02239756686672635,44,1
2011-11,2011-12,baseline,1,0.022090536618405928,321,1
2011-11,2011-12,baseline,2,0.02252884264567298,321,1
2011-11,2011-12,baseline,3,0.020817750966936457,321,1
2011-11,2011-12,baseline,4,0.020591222148039153,321,1
2011-11,2011-12,baseline,5,0.02032003973781981,322,1
2011-11,2011-12,information,1,0.028089887640449396,1,1
2011-11,2011-12,information,2,0.018276762402088753,1,1
2011-11,2011-12,information,3,0.005995889480052308,2,1
2011-11,2011-12,information,4,0.010266940451745254,1,1
2011-11,2011-12,information,5,0.01277138100853159,2,1
2011-12,2012-01,attention,1,-0.02559334880873121,20,1
2011-12,2012-01,attention,2,-0.02810624711832498,20,1
2011-12,2012-01,attention,3,-0.024410946265202033,21,1
2011-12,2012-01,attention,4,-0.018164296083772662,20,1
2011-12,2012-01,attention,5,-0.019993416492580268,21,1
2011-12,2012-01,baseline,1,-0.02959089535195777,352,1
2011-12,2012-01,baseline,2,-0.025488764098702463,352,1
2011-12,2012-01,baseline,3,-0.024388833366788428,353,1
2011-12,2012-01,baseline,4,-0.02329341805566788,352,1
2011-12,2012-01,baseline,5,-0.022516876832053022,353,1
2012-01,2012-02,attention,1,-0.009182205867993258,13,1
2012-01,2012-02,attention,2,-0.008321254132879596,14,1
2012-01,2012-02,attention,3,-0.017052271068404894,13,1
2012-01,2012-02,attention,4,-0.009713075317157451,14,1
2012-01,2012-02,attention,5,-0.01575205878955802,14,1
2012-01,2012-02,baseline,1,-0.006372196816008042,360,1
2012-01,2012-02,baseline,2,-0.006146784371821649,360,1
2012-01,2012-02,baseline,3,-0.007234640443664883,360,1
2012-01,2012-02,baseline,4,-0.00749828643855162,360,1
2012-01,2012-02,baseline,5,-0.006620275243996428,361,1
2012-01,2012-02,information,1,0.011587797166385602,6,1
2012-01,2012-02,information,2,-0.010082748331013506,6,1
2012-01,2012-02,information,3,-0.007289224693333281,6,1
2012-01,2012-02,information,4,-0.004459367012349373,6,1
2012-01,2012-02,information,5,-0.007589205239715309,6,1
2012-02,2012-03,attention,1,0.007156850740705817,42,1
2012-02,2012-03,attention,2,0.005206249520278119,43,1
2012-02,2012-03,attention,3,0.009176735678868344,43,1
2012-02,2012-03,attention,4,0.0032707177447200224,43,1
2012-02,2012-03,attention,5,0.001432155393103069,43,1
2012-02,2012-03,baseline,1,0.007119833507118051,337,1
2012-02,2012-03,baseline,2,0.007785762169183726,337,1
2012-02,2012-03,baseline,3,0.005628443493018279,337,1
2012-02,2012-03,baseline,4,0.004807758299696587,337,1
2012-02,2012-03,baseline,5,0.005671795406620416,337,1
2012-02,2012-03,information,1,0.008310556513052413,5,1
2012-02,2012-03,information,2,0.023752874243244033,6,1
2012-02,2012-03,information,3,0.0032870228892099007,5,1
2012-02,2012-03,information,4,0.008816824539020884,6,1
2012-02,2012-03,information,5,0.010162381421951583,6,1
2012-03,2012-04,attention,1,0.032598233056658175,63,1
2012-03,2012-04,attention,2,0.032597947947826,64,1
2012-03,2012-04,attention,3,0.030720777954984364,63,1
2012-03,2012-04,attention,4,0.02874396370392543,64,1
2012-03,2012-04,attention,5,0.03477001642314162,64,1
2012-03,2012-04,baseline,1,0.03219622240075376,312,1
