month,holding_month,1,10,ew_long_short_open_tradable
2010-01,2010-02,0.05547114592588505,0.05582772296132735,0.0003565770354422987
2010-02,2010-03,0.018301730641900067,0.03199943562376436,0.013697704981864293
2010-03,2010-04,-0.09445867891746715,-0.06294909973012336,0.03150957918734379
2010-04,2010-05,-0.08516718640140654,-0.0815453319596319,0.0036218544417746384
2010-05,2010-06,-0.08544905525726024,-0.09452275484240037,-0.009073699585140135
2010-06,2010-07,0.1816968498471541,0.14204507573396527,-0.03965177411318882
2010-07,2010-08,0.08875690305981056,0.10922214023293754,0.020465237173126982
2010-08,2010-09,-0.0025432288976002413,0.02519941336261038,0.027742642260210622
2010-09,2010-10,0.07607785985953626,0.13532375000404012,0.05924589014450386
2010-10,2010-11,-0.06006778955079988,-0.007321720071208335,0.05274606947959155
2010-11,2010-12,-0.03071621103953609,-0.01842745754760062,0.012288753491935471
2010-12,2011-01,-0.06717475879168336,-0.03584503623813928,0.031329722553544076
2011-01,2011-02,0.09130838440663286,0.09898080281543034,0.007672418408797482
2011-02,2011-03,-0.025135851828537,-0.027524052396062773,-0.002388200567525773
2011-03,2011-04,-0.027464668238258695,-0.03713053004863876,-0.009665861810380066
2011-04,2011-05,-0.07902910822673619,-0.06560823285958806,0.01342087536714813
2011-05,2011-06,0.02695121214833495,0.029987993176926943,0.003036781028591992
2011-06,2011-07,-9.47666747563082e-05,0.017440277262350305,0.017535043937106615
2011-07,2011-08,-0.04947900772585376,-0.029760350616211816,0.019718657109641942
2011-08,2011-09,-0.13709027324484677,-0.1114245766798282,0.02566569656501856
2011-09,2011-10,0.045498328734048424,0.03806017391649965,-0.007438154817548774
2011-10,2011-11,-0.05478587421905937,-0.03992295818413973,0.01486291603491964
2011-11,2011-12,-0.15366644402773744,-0.14872254507159288,0.0049438989561445545
2011-12,2012-01,-0.02367435549243917,0.0017910934823314262,0.025465448974770596
2012-01,2012-02,0.15939960193852976,0.12481559319634784,-0.03458400874218191
2012-02,2012-03,-0.09816876619668204,-0.06698594074334713,0.03118282545333491
2012-03,2012-04,0.0526977565049622,0.06761908519023276,0.014921328685270553
2012-04,2012-05,0.015968295711810524,0.02767309368709403,0.011704797975283506
2012-05,2012-06,-0.06945562290801052,-0.05945521250050504,0.010000410407505482
2012-06,2012-07,-0.11338857210138112,-0.09254229940495219,0.020846272696428927
2012-07,2012-08,0.022528099347364366,0.01482084883278647,-0.0077072505145778965
2012-08,2012-09,-0.00738255400195584,0.012649907280928836,0.020032461282884675
2012-09,2012-10,-0.01260260828117448,-0.012047422631623797,0.0005551856495506838
2012-10,2012-11,-0.11867944427727627,-0.10515211358758648,0.013527330689689782
2012-11,2012-12,0.16645530877207484,0.1497933762430216,-0.016661932529053236
2012-12,2013-01,0.03812713754139331,0.07824529606466513,0.040118158523271816
