period,months,mean_monthly_return,newey_west_t_lag5
full_2010_2026,198,0.012246499528963508,5.850914693031913
paper_overlap_2010_2020,131,0.010441763272457867,4.174951287797246
out_of_sample_2021_2026,67,0.01577516295586259,4.3122793798971975
