period,months,mean_monthly_return,newey_west_t_lag5,one_side_cost_bps
full_2010_2026,197,0.009131811385428866,4.335424692656714,10
paper_overlap_2010_2020,130,0.007309999758245383,2.8944973532183385,10
out_of_sample_2021_2026,67,0.012666669766531139,3.467748589659078,10
full_2010_2026,197,0.007544289845403858,3.5780598289477785,15
paper_overlap_2010_2020,130,0.0057053288233044515,2.2560481905473675,15
out_of_sample_2021_2026,67,0.011112423171865397,3.044512053458454,15
full_2010_2026,197,0.004369246765353846,2.067899352314988,25
paper_overlap_2010_2020,130,0.0024959869534225743,0.984286524470826,25
out_of_sample_2021_2026,67,0.008003929982533922,2.196115274468238,25
