formation_month,holding_month,low_decile,high_decile,effective_bins,ew_long_short,vw_long_short,ew_nav,vw_nav,d1_turnover,d10_turnover,two_leg_buy_sell_turnover,cost_10bps,ew_net_10bps,vw_net_10bps,cost_15bps,ew_net_15bps,vw_net_15bps,cost_25bps,ew_net_25bps,vw_net_25bps
2010-01,2010-02,1,10,10,0.0003565770354422,-0.0333581115294714,1.0003565770354423,0.9666418884705286,,,,,,,,,,,,
2010-02,2010-03,1,10,10,0.0136977049818642,0.0146321940956733,1.0140591663043417,0.9807859802036376,0.8263888888888888,0.8689655172413793,3.390708812260536,0.0033907088122605363,0.010306996169603665,0.011241485283412764,0.005086063218390805,0.008611641763473395,0.009546130877282497,0.008476772030651341,0.0052209329512128595,0.006155422065021959
2010-03,2010-04,1,10,10,0.0319872524637727,0.0514417816718394,1.0464961328701214,1.031239358464074,0.7622377622377623,0.8333333333333334,3.191142191142191,0.003191142191142191,0.02879611027263051,0.04825063948069721,0.0047867132867132865,0.027200539177059415,0.04665506838512612,0.007977855477855478,0.024009396985917225,0.043463926193983926
2010-04,2010-05,1,10,10,0.0052229870273572,0.0136321216012371,1.0519619685962815,1.045297338798638,0.7832167832167832,0.8472222222222222,3.260878010878011,0.0032608780108780108,0.001962109016479189,0.01037124359035909,0.004891317016317016,0.0003316700110401836,0.008740804584920084,0.008152195027195027,-0.0029292079998378268,0.005479926574042074
2010-05,2010-06,1,10,10,-0.0090736995851401,0.0114950440315376,1.042416781718246,1.0573130777341773,0.75177304964539,0.8309859154929577,3.1655179302766956,0.0031655179302766956,-0.012239217515416796,0.008329526101260904,0.004748276895415043,-0.013821976480555144,0.006746767136122557,0.007913794825691739,-0.01698749441083184,0.003581249205845861
2010-06,2010-07,1,10,10,-0.0376150706960418,-0.0522755140952523,1.0032062007791738,1.0020414930359896,0.7730496453900709,0.7464788732394366,3.039057037259015,0.0030390570372590153,-0.040654127733300814,-0.055314571132511314,0.004558585555888523,-0.04217365625193033,-0.05683409965114082,0.007597642593147538,-0.04521271328918934,-0.05987315668839984
2010-07,2010-08,1,10,10,0.0210456279507965,0.0209677348552918,1.0243193052387043,1.023052033375969,0.7659574468085106,0.8591549295774648,3.2502247527719508,0.003250224752771951,0.01779540319802455,0.01771751010251985,0.004875337129157926,0.016170290821638574,0.016092397726133877,0.008125561881929876,0.012920066068866625,0.012842172973361925
2010-08,2010-09,1,10,10,0.028600455706445,0.0473645756781587,1.0536153041574403,1.071508458833499,0.8169014084507042,0.8601398601398601,3.354082537181129,0.003354082537181129,0.02524637316926387,0.044010493140977575,0.0050311238057716935,0.023569331900673306,0.04233345187238701,0.008385206342952823,0.02021524936349218,0.03897936933520588
2010-09,2010-10,1,10,10,0.0548502293431353,0.111484650677645,1.1114063452299132,1.1909652050646935,0.7847222222222222,0.8620689655172413,3.293582375478927,0.003293582375478927,0.05155664696765637,0.10819106830216607,0.00494037356321839,0.04990985577991691,0.10654427711442661,0.008233955938697317,0.04661627340443798,0.10325069473894768
2010-10,2010-11,1,10,10,0.0580098303152404,0.0619367141344718,1.175878838727982,1.264729676514888,0.7430555555555556,0.8275862068965517,3.141283524904215,0.003141283524904215,0.05486854679033619,0.05879543060956759,0.004711925287356322,0.05329790502788408,0.057224788847115474,0.007853208812260537,0.050156621502979865,0.05408350532221126
