period,weighting,decile,months,mean_monthly_return,newey_west_t_lag5
full_2010_2026,EW,1,198,-0.0021040018209913893,-0.38595940366405407
full_2010_2026,EW,2,198,0.007063470130277222,1.4371938987275494
full_2010_2026,EW,3,198,0.009533758036581593,1.9572287832962931
full_2010_2026,EW,4,198,0.011033054540297751,2.2692295419176505
full_2010_2026,EW,5,198,0.011164047093246896,2.32011205814031
full_2010_2026,EW,6,198,0.012429593908915466,2.618336102024128
full_2010_2026,EW,7,198,0.011333837178567131,2.406077004828734
full_2010_2026,EW,8,198,0.01254213764510769,2.549039659930994
full_2010_2026,EW,9,198,0.012483215369469634,2.612878331866725
full_2010_2026,EW,10,198,0.013176991928705329,2.441403684697617
full_2010_2026,VW,1,195,-0.004776665276432843,-0.9555736238578065
full_2010_2026,VW,2,192,0.004005991350172809,0.8597791035460933
full_2010_2026,VW,3,189,0.006566311399902534,1.4132023504464741
full_2010_2026,VW,4,183,0.008302543849556749,1.7296024630256488
full_2010_2026,VW,5,180,0.006658710038599812,1.4649831457903104
full_2010_2026,VW,6,189,0.005953473651329369,1.6288956234472118
full_2010_2026,VW,7,183,0.007477520986517083,1.869957828721953
full_2010_2026,VW,8,181,0.006071380151798984,1.3788445942414445
full_2010_2026,VW,9,196,0.007713194896236696,1.7296899343556473
full_2010_2026,VW,10,193,0.007585322963462067,1.3927809408120482
paper_overlap_2010_2020,EW,1,131,-0.0009676476087167066,-0.13521824679829067
paper_overlap_2010_2020,EW,2,131,0.008414687477479128,1.2893696927758158
paper_overlap_2010_2020,EW,3,131,0.010101859405138303,1.5473716205548103
paper_overlap_2010_2020,EW,4,131,0.01123899183093528,1.721382641668499
paper_overlap_2010_2020,EW,5,131,0.011116580757459813,1.7051617929979703
paper_overlap_2010_2020,EW,6,131,0.012177826648951251,1.8904350544261643
paper_overlap_2010_2020,EW,7,131,0.01126488746683766,1.7656206041502551
paper_overlap_2010_2020,EW,8,131,0.0126815226671412,1.9006214169895161
paper_overlap_2010_2020,EW,9,131,0.011781555095601394,1.8789542386982199
paper_overlap_2010_2020,EW,10,131,0.0136701848834588,1.888229917126044
paper_overlap_2010_2020,VW,1,130,-0.00411839854557256,-0.6231167913429364
paper_overlap_2010_2020,VW,2,128,0.005774646290098179,0.9514424545971345
paper_overlap_2010_2020,VW,3,127,0.00847896485520709,1.3538700611363417
paper_overlap_2010_2020,VW,4,127,0.008604712878360659,1.3316779612964833
paper_overlap_2010_2020,VW,5,125,0.009090420390124553,1.4485011185645702
paper_overlap_2010_2020,VW,6,127,0.006100479682105387,1.2019421929321414
paper_overlap_2010_2020,VW,7,129,0.007873974727235732,1.4867596160659342
paper_overlap_2010_2020,VW,8,126,0.005606649823043344,0.9681091749072979
paper_overlap_2010_2020,VW,9,131,0.007692471625118379,1.2771742187072659
paper_overlap_2010_2020,VW,10,128,0.0093049078773156,1.3658068017895728
out_of_sample_2021_2026,EW,1,67,-0.004325828713647853,-0.5452798988898824
out_of_sample_2021_2026,EW,2,67,0.0044215377051511065,0.643939087644144
out_of_sample_2021_2026,EW,3,67,0.008422992674179675,1.2830573966749796
out_of_sample_2021_2026,EW,4,67,0.010630401031737808,1.6463844492150999
out_of_sample_2021_2026,EW,5,67,0.011256854406502243,1.810305789480239
out_of_sample_2021_2026,EW,6,67,0.012921855267949978,2.120662037256004
out_of_sample_2021_2026,EW,7,67,0.011468649301500872,1.8749069342141849
out_of_sample_2021_2026,EW,8,67,0.012269608721430226,1.9296164079223082
out_of_sample_2021_2026,EW,9,67,0.013855118293003055,2.014739116087356
out_of_sample_2021_2026,EW,10,67,0.012212689285829135,1.6708564916821564
out_of_sample_2021_2026,VW,1,65,-0.006093198738153409,-0.8411604539419584
out_of_sample_2021_2026,VW,2,64,0.0004686814703220672,0.06551531965011274
out_of_sample_2021_2026,VW,3,62,0.002648456741456104,0.447777824210684
out_of_sample_2021_2026,VW,4,56,0.0076172676592335935,1.4071759660975691
out_of_sample_2021_2026,VW,5,55,0.0011320956033163039,0.3020560487334121
out_of_sample_2021_2026,VW,6,62,0.005652348394739782,1.411568009961464
out_of_sample_2021_2026,VW,7,54,0.006530437050355864,1.3367384141364158
out_of_sample_2021_2026,VW,8,55,0.00713603508676645,1.2458303077863833
out_of_sample_2021_2026,VW,9,65,0.007754960258028994,1.3384925308717324
out_of_sample_2021_2026,VW,10,65,0.00419906344079665,0.47013804392127895
