formation_month,holding_month,decile,n,ew_return,ew_market_return,ew_market_adjusted,vw_return,vw_available,effective_bins
2010-01,2010-02,1,143,0.055471145925885056,0.062226113666990865,-0.006754967741105809,0.04068762407566439,True,10
2010-01,2010-02,2,144,0.07377455853927911,0.062226113666990865,0.011548444872288247,0.06169696860069126,True,10
2010-01,2010-02,3,144,0.06382500841493087,0.062226113666990865,0.001598894747940005,0.06520269796513987,True,10
2010-01,2010-02,4,143,0.07840549965638051,0.062226113666990865,0.016179385989389644,0.058930670683907165,True,10
2010-01,2010-02,5,144,0.05935436924741038,0.062226113666990865,-0.002871744419580484,0.0378822264598142,True,10
2010-01,2010-02,6,144,0.062260857148692304,0.062226113666990865,3.474348170143943e-05,0.05720522177840751,True,10
2010-01,2010-02,7,143,0.05648380890035174,0.062226113666990865,-0.005742304766639124,0.044945558064673256,True,10
2010-01,2010-02,8,144,0.05378464500042574,0.062226113666990865,-0.008441468666565123,0.020285541761771074,True,10
2010-01,2010-02,9,144,0.06309909110773701,0.062226113666990865,0.0008729774407461449,0.021567875554002632,True,10
2010-01,2010-02,10,144,0.05582772296132735,0.062226113666990865,-0.0063983907056635175,0.007329512546192993,True,10
2010-02,2010-03,1,143,0.018301730641900067,0.035366546448602106,-0.01706481580670204,0.008983086646777579,True,10
2010-02,2010-03,2,144,0.03182107268088412,0.035366546448602106,-0.0035454737677179868,0.021759758998386624,True,10
2010-02,2010-03,3,144,0.049239031866605595,0.035366546448602106,0.01387248541800349,0.028845176832698417,True,10
2010-02,2010-03,4,145,0.038481027635041874,0.035366546448602106,0.0031144811864397687,0.03609177407312755,True,10
2010-02,2010-03,5,143,0.04058236623195411,0.035366546448602106,0.005215819783352005,0.04677174458747803,True,10
2010-02,2010-03,6,144,0.03021118915956022,0.035366546448602106,-0.005155357289041887,0.023738597994537126,True,10
2010-02,2010-03,7,145,0.026256284723653444,0.035366546448602106,-0.009110261724948662,0.019492007827393198,True,10
2010-02,2010-03,8,144,0.03243053025994946,0.035366546448602106,-0.0029360161886526487,0.007658057753979422,True,10
2010-02,2010-03,9,144,0.05432553104701338,0.035366546448602106,0.018958984598411277,0.006751398155715376,True,10
2010-02,2010-03,10,145,0.03199943562376435,0.035366546448602106,-0.003367110824837753,0.02361528074245089,True,10
2010-03,2010-04,1,143,-0.09493635219389611,-0.06871231173095442,-0.02622404046294169,-0.09656386757604796,True,10
2010-03,2010-04,2,144,-0.07579912083282649,-0.06871231173095442,-0.007086809101872066,-0.055228026898751406,True,10
2010-03,2010-04,3,144,-0.07120683152462827,-0.06871231173095442,-0.0024945197936738495,-0.07578647383184028,True,10
2010-03,2010-04,4,144,-0.07401674730433343,-0.06871231173095442,-0.005304435573379007,-0.053051053748093095,True,10
2010-03,2010-04,5,144,-0.06739252804248831,-0.06871231173095442,0.0013197836884661085,-0.0763191485488168,True,10
2010-03,2010-04,6,144,-0.056211424562227906,-0.06871231173095442,0.012500887168726514,-0.10001392215044173,True,10
2010-03,2010-04,7,144,-0.065464623496112,-0.06871231173095442,0.003247688234842422,-0.09495811371196741,True,10
2010-03,2010-04,8,144,-0.063538486263812,-0.06871231173095442,0.005173825467142415,-0.07679121526929354,True,10
2010-03,2010-04,9,144,-0.05579001475120003,-0.06871231173095442,0.012922296979754389,-0.06426668288359445,True,10
2010-03,2010-04,10,144,-0.06294909973012336,-0.06871231173095442,0.005763212000831061,-0.045122085904208534,True,10
2010-04,2010-05,1,143,-0.08676831898698914,-0.08619348845511753,-0.0005748305318716146,-0.09803635155403818,True,10
2010-04,2010-05,2,144,-0.0832275784297761,-0.08619348845511753,0.0029659100253414256,-0.061872177283829696,True,10
2010-04,2010-05,3,144,-0.09573971244306102,-0.08619348845511753,-0.009546223987943497,-0.0914592920521375,True,10
2010-04,2010-05,4,143,-0.0892447066782998,-0.08619348845511753,-0.0030512182231822726,-0.08718889140225329,True,10
