period,weighting,months,mean_monthly_return,newey_west_t_lag5
full_2010_2026,EW,198,0.015280993749696716,7.422084911975743
full_2010_2026,VW,190,0.012464715896028503,3.5436541015221694
paper_overlap_2010_2020,EW,131,0.014637832492175512,5.881230620242006
paper_overlap_2010_2020,VW,127,0.014229710203573205,3.2480968704901425
out_of_sample_2021_2026,EW,67,0.01653851799947699,4.465971955356445
out_of_sample_2021_2026,VW,63,0.00890671149827965,1.560026202520923
