formation_month,holding_month,low_decile,high_decile,effective_bins,ew_long_short,vw_long_short,ew_nav,vw_nav
2010-01,2010-02,1,10,10,0.00035657703544229175,-0.0333581115294714,1.0003565770354423,0.9666418884705286
2010-02,2010-03,1,10,10,0.013697704981864286,0.014632194095673312,1.0140591663043415,0.9807859802036375
2010-03,2010-04,1,10,10,0.03198725246377275,0.05144178167183942,1.0464961328701214,1.031239358464074
2010-04,2010-05,1,10,10,0.00522298702735724,0.013632121601237196,1.0519619685962815,1.045297338798638
2010-05,2010-06,1,10,10,-0.00907369958514015,0.011495044031537664,1.0424167817182461,1.0573130777341773
2010-06,2010-07,1,10,10,-0.03761507069604189,-0.05227551409525233,1.0032062007791738,1.0020414930359896
2010-07,2010-08,1,10,10,0.021045627950796578,0.020967734855291867,1.0243193052387045,1.023052033375969
2010-08,2010-09,1,10,10,0.02860045570644501,0.047364575678158743,1.0536153041574405,1.071508458833499
2010-09,2010-10,1,10,10,0.054850229343135326,0.11148465067764507,1.1114063452299132,1.1909652050646935
2010-10,2010-11,1,10,10,0.058009830315240415,0.061936714134471854,1.175878838727982,1.2647296765148879
2010-11,2010-12,1,10,10,0.016428422633424502,0.004903170263708041,1.1951966732563057,1.2709308614564048
2010-12,2011-01,1,10,10,0.031329722553544076,0.008225278196135138,1.2326418534263446,1.2813846213599374
2011-01,2011-02,1,10,10,0.007672418408797482,0.0408810203177386,1.2420991974740272,1.3337689321005908
2011-02,2011-03,1,10,10,-0.0023882005675257834,0.05503339118271629,1.2391328154656964,1.4071707594882363
2011-03,2011-04,1,10,10,-0.005345770439316343,0.03730278839985769,1.232508695890393,1.4596621525718931
2011-04,2011-05,1,10,10,0.016175316331433473,0.028119910068413405,1.2524449139276628,1.5007077210324813
2011-05,2011-06,1,10,10,0.0044646639439895434,-0.005592317580755665,1.2580366595767087,1.4923152868605756
2011-06,2011-07,1,10,10,0.019566958587283682,0.005120728726056961,1.282652610795931,1.4999570286183366
2011-07,2011-08,1,10,10,0.019718657109641942,0.01372674002131781,1.307944797819003,1.520546548793329
2011-08,2011-09,1,10,10,0.026671361029110094,0.08584308303787772,1.3428294657277802,1.651074952444353
2011-09,2011-10,1,10,10,-0.005133741731445589,0.013010198246898377,1.3359357260613587,1.6725557648961424
2011-10,2011-11,1,10,10,0.01486291603491964,-0.008572900039283474,1.355791626585858,1.6582171115135604
2011-11,2011-12,1,10,10,0.0049438989561445545,0.041916301873791376,1.3624945233932855,1.7277234405320492
2011-12,2012-01,1,10,10,0.027150708850574214,0.06793738579006844,1.3994872155084386,1.8451004544500194
2012-01,2012-02,1,10,10,-0.03458400874218194,-0.07393294582715683,1.3510873374127228,1.7086867425055037
2012-02,2012-03,1,10,10,0.03228928791359385,0.02376097553807484,1.3947129854468532,1.7492868063964095
2012-03,2012-04,1,10,10,0.017236521532796395,0.01659546790147877,1.4187529858525785,1.7783170394424415
2012-04,2012-05,1,10,10,0.01412001477206476,-0.014645118666665959,1.438785798970728,1.7522733753728528
2012-05,2012-06,1,10,10,0.009232083659304585,-0.00400830680298328,1.452068789834645,1.7452497260816593
