formation_month,holding_month,decile,n,below_30
2011-06,2011-07,4,169,False
2011-06,2011-07,5,168,False
2011-06,2011-07,6,168,False
2011-06,2011-07,7,169,False
2011-06,2011-07,8,168,False
2011-06,2011-07,9,168,False
2011-06,2011-07,10,169,False
2011-07,2011-08,1,171,False
2011-07,2011-08,2,171,False
2011-07,2011-08,3,172,False
2011-07,2011-08,4,171,False
2011-07,2011-08,5,172,False
2011-07,2011-08,6,171,False
2011-07,2011-08,7,171,False
2011-07,2011-08,8,172,False
2011-07,2011-08,9,171,False
2011-07,2011-08,10,172,False
2011-08,2011-09,1,175,False
2011-08,2011-09,2,175,False
2011-08,2011-09,3,175,False
2011-08,2011-09,4,175,False
2011-08,2011-09,5,175,False
2011-08,2011-09,6,175,False
2011-08,2011-09,7,175,False
2011-08,2011-09,8,175,False
2011-08,2011-09,9,174,False
2011-08,2011-09,10,175,False
2011-09,2011-10,1,178,False
2011-09,2011-10,2,178,False
2011-09,2011-10,3,178,False
2011-09,2011-10,4,178,False
2011-09,2011-10,5,178,False
2011-09,2011-10,6,178,False
2011-09,2011-10,7,178,False
2011-09,2011-10,8,178,False
2011-09,2011-10,9,178,False
2011-09,2011-10,10,178,False
2011-10,2011-11,1,180,False
2011-10,2011-11,2,180,False
2011-10,2011-11,3,180,False
2011-10,2011-11,4,180,False
2011-10,2011-11,5,180,False
2011-10,2011-11,6,180,False
2011-10,2011-11,7,180,False
2011-10,2011-11,8,180,False
2011-10,2011-11,9,180,False
2011-10,2011-11,10,180,False
2011-11,2011-12,1,183,False
2011-11,2011-12,2,183,False
2011-11,2011-12,3,183,False
2011-11,2011-12,4,183,False
2011-11,2011-12,5,183,False
2011-11,2011-12,6,183,False
2011-11,2011-12,7,183,False
2011-11,2011-12,8,183,False
2011-11,2011-12,9,183,False
2011-11,2011-12,10,184,False
2011-12,2012-01,1,186,False
2011-12,2012-01,2,186,False
2011-12,2012-01,3,187,False
2011-12,2012-01,4,186,False
2011-12,2012-01,5,187,False
2011-12,2012-01,6,186,False
2011-12,2012-01,7,186,False
2011-12,2012-01,8,187,False
2011-12,2012-01,9,186,False
2011-12,2012-01,10,187,False
2012-01,2012-02,1,189,False
2012-01,2012-02,2,190,False
2012-01,2012-02,3,190,False
2012-01,2012-02,4,190,False
2012-01,2012-02,5,190,False
2012-01,2012-02,6,190,False
