model,protocol,windows,mean_rank_ic,mean_icir,mean_long_short,min_rank_ic,max_rank_ic
GRU,canonical,8,0.10552642623229158,0.532763371059512,0.001098798062127095,0.07859381264412775,0.11774402377832982
GRU,delayed,8,0.04628976540377013,0.23410375052015386,0.00010519972932452821,0.03236365341865005,0.0666025678962629
LightGBM,canonical,8,0.10164420680520851,0.5502827709445768,0.0010763222775394877,0.0776691103388433,0.1103569267806832
LightGBM,delayed,8,0.03969743147717388,0.2129080124390503,8.172784668719575e-05,0.02634628411230912,0.058398375163359696
MLP,canonical,8,0.09738427002118019,0.5024545033712601,0.0009809470901933205,0.07565198850804714,0.11222989043578706
MLP,delayed,8,0.038402132659686526,0.1977446989662536,9.92060837239575e-05,0.024834220658283685,0.05728607298029568
Ridge,canonical,8,0.09123272932191179,0.4921360346421808,0.0007400447532037679,0.07574875340550029,0.1063663855764898
Ridge,delayed,8,0.029732131579392387,0.15977221743835396,-8.866145221287965e-05,0.016136974568609,0.04350308897571755
