window,model,protocol,seeds,rank_ic,icir,long_short,ic_observations,rank_ic_std
1,Ridge,canonical,1,0.09470363538949234,0.6478769393260969,0.0008689195260305138,615.0,0.0
1,Ridge,delayed,1,0.016136974568609,0.11211569406430467,-0.00012336078062750845,615.0,0.0
1,LightGBM,canonical,1,0.10682656459604849,0.7743312156780032,0.0014736364593280152,615.0,0.0
1,LightGBM,delayed,1,0.02634628411230912,0.198770217360129,0.00023518364568601505,615.0,0.0
1,MLP,canonical,5,0.10163419293751726,0.6585065610478279,0.0011651410814317185,615.0,0.0019303177219734873
1,MLP,delayed,5,0.024834220658283685,0.16089727538143267,9.023319388067969e-05,615.0,0.0034539043271270913
1,GRU,canonical,5,0.11018984651403389,0.7416054204327976,0.0014016423321699136,615.0,0.0027507068589877775
1,GRU,delayed,5,0.03374326656918758,0.22769629862749588,0.00011167705507659095,615.0,0.0017220797590730998
2,Ridge,canonical,1,0.0946875738263629,0.5738729868551147,0.0009943226077003611,605.0,0.0
2,Ridge,delayed,1,0.02230129410491273,0.14321341111218858,-8.301097794823358e-05,605.0,0.0
2,LightGBM,canonical,1,0.10681850590857024,0.6786263903062336,0.0012741432947802427,605.0,0.0
2,LightGBM,delayed,1,0.029322910508396555,0.19702777471993885,-3.726594354207912e-05,605.0,0.0
2,MLP,canonical,5,0.09493803642029672,0.5671006354129661,0.001016558335287284,605.0,0.005500468304905213
2,MLP,delayed,5,0.029224221383931482,0.1834863413566668,1.8220788889738425e-05,605.0,0.003503550701600614
2,GRU,canonical,5,0.10449566390386995,0.5953709941793304,0.0013435667707438238,605.0,0.0030333451567383933
2,GRU,delayed,5,0.03236365341865005,0.198514221898029,9.550355555631193e-05,605.0,0.002426139601122733
3,Ridge,canonical,1,0.09653864850097328,0.454814931725671,0.0012013577756225199,605.0,0.0
3,Ridge,delayed,1,0.0349034604430443,0.17035335275825084,0.0003547867726548691,605.0,0.0
3,LightGBM,canonical,1,0.10751001982357908,0.5395672100275564,0.0014540164403161857,605.0,0.0
3,LightGBM,delayed,1,0.04381605260669464,0.23026171244383664,0.00040088990761920655,605.0,0.0
3,MLP,canonical,5,0.10638216054611109,0.5311183544406655,0.0013381418717399892,605.0,0.0027382980505623188
3,MLP,delayed,5,0.04368242858031411,0.2288094314805352,0.0003945972320389244,605.0,0.0031795793534624946
3,GRU,canonical,5,0.10854398995572104,0.5490834210577352,0.0013909670990718671,605.0,0.005891876859235059
3,GRU,delayed,5,0.051295540055073606,0.2734763586445278,0.0003030985802199641,605.0,0.003797333185142701
4,Ridge,canonical,1,0.1063663855764898,0.570361328063466,0.0010364083781731984,605.0,0.0
4,Ridge,delayed,1,0.024264286943676643,0.13308464157231653,-0.00011096403751018442,605.0,0.0
4,LightGBM,canonical,1,0.1103569267806832,0.5950679991157947,0.0011971697604798521,605.0,0.0
4,LightGBM,delayed,1,0.03307389420275227,0.18729195422366293,-3.058879576600085e-05,605.0,0.0
4,MLP,canonical,5,0.11222989043578706,0.5527268414890478,0.0012016495274166379,605.0,0.006349002730864661
4,MLP,delayed,5,0.0355219223240989,0.1807294750827369,2.3739193672100543e-06,605.0,0.0037177859695805126
4,GRU,canonical,5,0.11774402377832982,0.574284544518807,0.001268463914468264,605.0,0.005339354834323258
4,GRU,delayed,5,0.04046277097561833,0.2023925580353787,1.860223421127399e-05,605.0,0.0019371575054046007
5,Ridge,canonical,1,0.0954835413338261,0.5185005717564017,0.001119319091900268,600.0,0.0
5,Ridge,delayed,1,0.027473624712085146,0.1580782358759672,0.00011630832575037291,600.0,0.0
