decile,mean_return,window,model,seed_index
6,-5.142792887923259e-05,8,MLP,5
7,-7.32273524299642e-05,8,MLP,5
8,7.718109380244798e-05,8,MLP,5
9,-0.00014050111520775375,8,MLP,5
10,-3.780966446432062e-05,8,MLP,5
1,7.861699519177366e-06,8,GRU,1
2,9.582955901739746e-05,8,GRU,1
3,-9.674142515364216e-05,8,GRU,1
4,-2.6470029860060824e-05,8,GRU,1
5,9.116484781691152e-05,8,GRU,1
6,-5.265797918070243e-05,8,GRU,1
7,-7.460830775508777e-05,8,GRU,1
8,-3.6835737994997716e-05,8,GRU,1
9,-6.808133803423564e-05,8,GRU,1
10,-8.786098333891309e-05,8,GRU,1
1,0.000147766050451592,8,GRU,2
2,0.00011634857019452666,8,GRU,2
3,-0.00012012351283754819,8,GRU,2
4,-7.316422565513232e-05,8,GRU,2
5,7.35785808920689e-07,8,GRU,2
6,1.6399131104658417e-05,8,GRU,2
7,-0.00017270609807205204,8,GRU,2
8,-9.365591669675524e-05,8,GRU,2
9,-2.6395495799869426e-05,8,GRU,2
10,-3.835891737467348e-05,8,GRU,2
1,-0.0001142056349000874,8,GRU,3
2,0.0001731365298621045,8,GRU,3
3,-0.00012773146532513792,8,GRU,3
4,5.6207817100307275e-05,8,GRU,3
5,-8.864581177657988e-05,8,GRU,3
6,0.00014258910481191562,8,GRU,3
7,-5.192356799515597e-05,8,GRU,3
8,-0.00013472052861291406,8,GRU,3
9,-5.513948810347644e-05,8,GRU,3
10,-5.396741686470252e-05,8,GRU,3
1,-6.567333036913162e-05,8,GRU,4
2,8.79530328874157e-05,8,GRU,4
3,1.4176438524624353e-05,8,GRU,4
4,-8.735827864892761e-05,8,GRU,4
5,-6.509163930930522e-05,8,GRU,4
6,5.84309333930454e-05,8,GRU,4
7,-5.807449035957556e-05,8,GRU,4
8,-4.673032436811246e-05,8,GRU,4
9,-2.6225862636981064e-05,8,GRU,4
10,-6.74494424943334e-05,8,GRU,4
1,3.6798362442401106e-05,8,GRU,5
2,-5.103636841974248e-05,8,GRU,5
3,-6.45071092993778e-05,8,GRU,5
4,-7.72796433388262e-05,8,GRU,5
5,0.00012632855221509035,8,GRU,5
6,1.0563884746902228e-05,8,GRU,5
7,-5.672060382803247e-05,8,GRU,5
8,-0.00017105922302667378,8,GRU,5
9,-3.2849000374321856e-06,8,GRU,5
10,9.408561895053171e-06,8,GRU,5
