window,model,protocol,seed_index,rank_ic,icir,long_short,ic_observations
1,Ridge,canonical,1,0.09470363538949234,0.6478769393260969,0.0008689195260305138,615
1,Ridge,delayed,1,0.016136974568609,0.11211569406430467,-0.00012336078062750845,615
1,LightGBM,canonical,1,0.10682656459604849,0.7743312156780032,0.0014736364593280152,615
1,LightGBM,delayed,1,0.02634628411230912,0.198770217360129,0.00023518364568601505,615
1,MLP,canonical,1,0.09953955112886821,0.7039344184862877,0.0011915709919461817,615
1,MLP,canonical,2,0.10135323033476729,0.627300247409624,0.0011558813937239366,615
1,MLP,canonical,3,0.10476951150084766,0.6841971402643768,0.0012907467315421781,615
1,MLP,canonical,4,0.10165385835809487,0.6193097060570903,0.0009768516704113668,615
1,MLP,canonical,5,0.10085481336500825,0.6577912930217606,0.0012106546195349297,615
1,MLP,delayed,1,0.0192738790791533,0.13703459337461696,8.548974437827937e-05,615
1,MLP,delayed,2,0.025356005596060355,0.15692271412760142,9.747100269256908e-05,615
1,MLP,delayed,3,0.026954336055959274,0.178721995914687,0.00011266937578846933,615
1,MLP,delayed,4,0.02826506795117768,0.17210006798263616,6.972431595839919e-05,615
1,MLP,delayed,5,0.02432181460906781,0.1597070055076218,8.581153058568145e-05,615
1,GRU,canonical,1,0.1128322373671906,0.7670119253679026,0.0013754434778428717,615
1,GRU,canonical,2,0.1057666186296322,0.7167456728393623,0.0013587079132470175,615
1,GRU,canonical,3,0.1109503646717754,0.7458038796647526,0.0015750775025319165,615
1,GRU,canonical,4,0.10955557041567099,0.7236478747491781,0.001279638976290833,615
1,GRU,canonical,5,0.11184444148590034,0.7548177495427927,0.0014193437909369292,615
1,GRU,delayed,1,0.036536345649920886,0.25232240275240636,8.997609704154894e-05,615
1,GRU,delayed,2,0.03200070010520911,0.21772035744531879,0.00014761290507735023,615
1,GRU,delayed,3,0.0340148364616553,0.22810416401316783,0.00023203240318725503,615
1,GRU,delayed,4,0.032886387541491535,0.21761722905852993,-1.80690715112967e-05,615
1,GRU,delayed,5,0.03327806308766107,0.2227173398680565,0.00010683294158809722,615
2,Ridge,canonical,1,0.0946875738263629,0.5738729868551147,0.0009943226077003611,605
2,Ridge,delayed,1,0.02230129410491273,0.14321341111218858,-8.301097794823358e-05,605
2,LightGBM,canonical,1,0.10681850590857024,0.6786263903062336,0.0012741432947802427,605
2,LightGBM,delayed,1,0.029322910508396555,0.19702777471993885,-3.726594354207912e-05,605
2,MLP,canonical,1,0.08647614077963624,0.567680726228765,0.001021640290248605,605
2,MLP,canonical,2,0.09571851934034943,0.5276655479233784,0.000828056872076459,605
2,MLP,canonical,3,0.09950210629747755,0.5681155777419392,0.0011164866277682997,605
2,MLP,canonical,4,0.09309684550467781,0.5901082226297685,0.0010713625531581427,605
2,MLP,canonical,5,0.09989657017934257,0.5819331025409796,0.001045245333184913,605
2,MLP,delayed,1,0.023007393242638285,0.15791685655150386,2.7978307904211752e-05,605
2,MLP,delayed,2,0.03125472250305833,0.18481375835016497,-6.875532664755158e-05,605
2,MLP,delayed,3,0.03077065213437894,0.18769738181762755,3.633642701541341e-05,605
2,MLP,delayed,4,0.030068980655786805,0.1967085382696559,0.00015865899170480839,605
2,MLP,delayed,5,0.031019358383795055,0.19029517179438166,-6.311445552818987e-05,605
2,GRU,canonical,1,0.10507654170271122,0.6209179650970571,0.001414581464784086,605
2,GRU,canonical,2,0.10772566713497835,0.628030588401303,0.0013602884468197612,605
2,GRU,canonical,3,0.09990428995810036,0.5324743110379456,0.0011196918770157817,605
2,GRU,canonical,4,0.10336126414646282,0.586905388299233,0.0014520031617361584,605
2,GRU,canonical,5,0.10641055657709697,0.6085267180611131,0.0013712689033633318,605
2,GRU,delayed,1,0.03089045047140169,0.1963933682489054,0.00013278268895689947,605
2,GRU,delayed,2,0.03585969217925634,0.22516109995479144,0.00014906865622706938,605
2,GRU,delayed,3,0.03056478705271783,0.1759353755640954,-2.2715287529519754e-05,605
2,GRU,delayed,4,0.03396791432973556,0.2073115734602498,0.000198970448367448,605
2,GRU,delayed,5,0.03053542306013885,0.18776969226210305,1.941127175966262e-05,605
3,Ridge,canonical,1,0.09653864850097328,0.454814931725671,0.0012013577756225199,605
3,Ridge,delayed,1,0.0349034604430443,0.17035335275825084,0.0003547867726548691,605
3,LightGBM,canonical,1,0.10751001982357908,0.5395672100275564,0.0014540164403161857,605
3,LightGBM,delayed,1,0.04381605260669464,0.23026171244383664,0.00040088990761920655,605
3,MLP,canonical,1,0.10848636151607172,0.5340593082880856,0.0013342187232996737,605
3,MLP,canonical,2,0.1083623088183409,0.537105030593735,0.0013472759993359519,605
3,MLP,canonical,3,0.10828930177836742,0.5311064288592265,0.0014158038254998451,605
3,MLP,canonical,4,0.10321569738307088,0.537837144135629,0.00127390589892276,605
3,MLP,canonical,5,0.10355713323470456,0.5154838603266515,0.0013195049116417159,605
3,MLP,delayed,1,0.046945489540812096,0.24236484530947483,0.0004201312462306945,605
3,MLP,delayed,2,0.04334806729844138,0.2232149588000883,0.00032391930338483086,605
3,MLP,delayed,3,0.0462489683639888,0.24090271815474262,0.00038088904066923765,605
3,MLP,delayed,4,0.03893561146947347,0.21174486041242113,0.000366937718979966,605
3,MLP,delayed,5,0.04293400622885481,0.2258197747259492,0.0004811088509298926,605
3,GRU,canonical,1,0.10472785273508343,0.5320032943659468,0.0012637481138069642,605
3,GRU,canonical,2,0.11290744128941295,0.5344815910578565,0.001383527358857624,605
3,GRU,canonical,3,0.11461013861269975,0.5880518728089336,0.0016500906757782787,605
3,GRU,canonical,4,0.10041091749099135,0.5067811276155675,0.0012725556807356706,605
3,GRU,canonical,5,0.11006359965041766,0.5840992194403719,0.0013849136661807978,605
3,GRU,delayed,1,0.05232089329883423,0.283936903892765,0.0002176807469005078,605
3,GRU,delayed,2,0.05727913773354055,0.2844734268916345,0.00039591045910601034,605
3,GRU,delayed,3,0.048874355499186395,0.25963062102712064,0.0003957860397562842,605
3,GRU,delayed,4,0.04751198710078467,0.25649351729592546,0.0002521892301114769,605
3,GRU,delayed,5,0.05049132664302221,0.2828473241151933,0.00025392642522554143,605
4,Ridge,canonical,1,0.1063663855764898,0.570361328063466,0.0010364083781731984,605
4,Ridge,delayed,1,0.024264286943676643,0.13308464157231653,-0.00011096403751018442,605
4,LightGBM,canonical,1,0.1103569267806832,0.5950679991157947,0.0011971697604798521,605
4,LightGBM,delayed,1,0.03307389420275227,0.18729195422366293,-3.058879576600085e-05,605
4,MLP,canonical,1,0.11629231473647585,0.5845224398954537,0.001384769065763553,605
4,MLP,canonical,2,0.11429176765293811,0.5520555820657692,0.001092032760893705,605
4,MLP,canonical,3,0.11239820132494446,0.5301955188699086,0.001114881027297844,605
4,MLP,canonical,4,0.11685075552693998,0.5387987039429278,0.001218880545367544,605
4,MLP,canonical,5,0.10131641293763691,0.5580619626711799,0.0011976842377605429,605
4,MLP,delayed,1,0.03805158354311263,0.19765704338658108,0.00011010772268698662,605
4,MLP,delayed,2,0.033557770320963055,0.1674981611122661,-0.00014315129474881742,605
4,MLP,delayed,3,0.03723092912522776,0.18238957284869073,-5.671500862062513e-05,605
4,MLP,delayed,4,0.03883006841904434,0.18438160411862053,1.6637464476333057e-07,605
4,MLP,delayed,5,0.029939260212146684,0.17172099394752594,0.00010146180287374287,605
4,GRU,canonical,1,0.11982917360504759,0.5847053731598771,0.001212239892303714,605
4,GRU,canonical,2,0.10886272852973014,0.5607611146396221,0.0012472958869259778,605
4,GRU,canonical,3,0.1223861756146363,0.5807559322888358,0.0013753325089521603,605
4,GRU,canonical,4,0.11695820452546107,0.5526829123170149,0.0012111164438726476,605
4,GRU,canonical,5,0.12068383661677402,0.5925173901886845,0.0012963348402868205,605
4,GRU,delayed,1,0.039047617271916274,0.19484969903786056,-7.869530634230775e-05,605
4,GRU,delayed,2,0.03938674035986795,0.2091055994738851,0.00013149594974695933,605
4,GRU,delayed,3,0.04381333673892849,0.211609047477887,6.244769159746534e-05,605
4,GRU,delayed,4,0.0396765302960692,0.19327190407834585,-2.9552622180757887e-05,605
4,GRU,delayed,5,0.04038963021130973,0.20312654010891504,7.315458235010924e-06,605
5,Ridge,canonical,1,0.0954835413338261,0.5185005717564017,0.001119319091900268,600
5,Ridge,delayed,1,0.027473624712085146,0.1580782358759672,0.00011630832575037291,600
5,LightGBM,canonical,1,0.10846242913072586,0.5663751084753615,0.0013923293582881599,600
5,LightGBM,delayed,1,0.03713305615392586,0.19957247093323494,0.00023177255391509038,600
5,MLP,canonical,1,0.10135121770112475,0.5263958429580432,0.001039042720625451,600
5,MLP,canonical,2,0.10349590864361032,0.501285233915908,0.0011060134807555362,600
5,MLP,canonical,3,0.10520099646493021,0.5490380334779634,0.0011485360559553366,600
5,MLP,canonical,4,0.10592406693394153,0.5436421166824725,0.0010621546288350824,600
5,MLP,canonical,5,0.10400924262397339,0.5166710769847386,0.0010946255855223445,600
5,MLP,delayed,1,0.033944402997228514,0.18436745409663882,0.00014774796577940035,600
5,MLP,delayed,2,0.039636948241286774,0.1997493070053009,0.0001807421116918511,600
