decile,one_way_turnover
1,0.7489194679395453
2,0.8628295428681196
3,0.8819666869528249
4,0.8868475891858274
5,0.8861311622632965
6,0.8840028317025105
7,0.8796286442004989
8,0.8804606051350209
9,0.8686983531336999
10,0.8384087422714157
