period,series,component,mean_monthly_return,newey_west_t_lag5
full_2010_2026,D1,overnight_return,-0.046841875187146984,-15.83185765775157
full_2010_2026,D10,overnight_return,-0.00750120521817722,-2.5321433859555538
full_2010_2026,D10-D1,overnight_return,0.03934066996896977,25.82334058978483
full_2010_2026,D1,intraday_return,0.05046629673239335,9.881433336102786
full_2010_2026,D10,intraday_return,0.022787782847476346,5.036456962541275
full_2010_2026,D10-D1,intraday_return,-0.027678513884917013,-11.299099605387408
full_2010_2026,D1,total_return,-0.002104001820991391,-0.38595940366405446
full_2010_2026,D10,total_return,0.013175887630472817,2.441222703598612
full_2010_2026,D10-D1,total_return,0.015279889451464204,7.4221441962694605
paper_overlap_2010_2020,D1,overnight_return,-0.051074232874680804,-13.392849124728706
paper_overlap_2010_2020,D10,overnight_return,-0.013280386662099606,-3.763671491914186
paper_overlap_2010_2020,D10-D1,overnight_return,0.0377938462125812,18.316205722477186
paper_overlap_2010_2020,D1,intraday_return,0.05609424004020865,8.622887109221775
paper_overlap_2010_2020,D10,intraday_return,0.028996518762832116,5.255955912155133
paper_overlap_2010_2020,D10-D1,intraday_return,-0.02709772127737654,-9.448223299191518
paper_overlap_2010_2020,D1,total_return,-0.0009676476087167134,-0.1352182467982916
paper_overlap_2010_2020,D10,total_return,0.013668515791473781,1.888021714843712
paper_overlap_2010_2020,D10-D1,total_return,0.014636163400190494,5.881332643468833
out_of_sample_2021_2026,D1,overnight_return,-0.038566668365252486,-11.514674224900615
out_of_sample_2021_2026,D10,overnight_return,0.0037983883512829686,1.1291242156779941
out_of_sample_2021_2026,D10-D1,overnight_return,0.042365056716535454,25.440600056935263
out_of_sample_2021_2026,D1,intraday_return,0.03946240757830673,5.541995955684755
out_of_sample_2021_2026,D10,intraday_return,0.010648314117452384,1.6359692616605646
out_of_sample_2021_2026,D10-D1,intraday_return,-0.028814093460854347,-6.186020210133599
out_of_sample_2021_2026,D1,total_return,-0.004325828713647852,-0.5452798988898822
out_of_sample_2021_2026,D10,total_return,0.012212689285829135,1.6708564916821573
out_of_sample_2021_2026,D10-D1,total_return,0.01653851799947699,4.465971955356445
