model,formation_month,holding_month,1,2,3,4,5,6,7,8,9,10,gross_long_short,low_one_way_turnover,high_one_way_turnover,mean_leg_one_way_turnover,two_leg_one_way_turnover,two_leg_buy_sell_turnover,cost_10bps,net_10bps,cost_15bps,net_15bps,cost_25bps,net_25bps
cto_sort,2013-01,2013-02,0.04399607714766828,0.03463713107591727,0.037965194159172586,0.040602882547216404,0.03549337242433092,0.03124525324522695,0.024924832999703505,0.03649674490825243,0.033299334142521016,0.04957031201739642,0.005574234869728141,,,,,,,,,,,
cto_sort,2013-02,2013-03,-0.048972686814080776,-0.032874578888709434,-0.023944281821247464,-0.034284910594164344,-0.0426677498076976,-0.03695873495992005,-0.03813830819284917,-0.049055681109686465,-0.032366120465346204,-0.03085825704099918,0.018114429773081597,0.8099547511312217,0.8243243243243243,0.817139537727773,1.634279075455546,3.268558150911092,0.0032685581509110917,0.014845871622170504,0.004902837226366638,0.01321159254671496,0.00817139537727773,0.009943034395803867
cto_sort,2013-03,2013-04,-0.04176895195811224,-0.023755380731794753,-0.03651542063724955,-0.026510676134923316,-0.018854823375733822,-0.03615917015916327,-0.030714907900959133,-0.02579452814862205,-0.021528972936616726,-0.031502461394000654,0.010266490564111587,0.7544642857142857,0.8355555555555556,0.7950099206349206,1.5900198412698412,3.1800396825396824,0.0031800396825396823,0.007086450881571905,0.004770059523809524,0.005496431040302063,0.007950099206349205,0.0023163913577623815
cto_sort,2013-04,2013-05,0.13409625857476015,0.16594960217644703,0.16118693320046779,0.1572536324342276,0.1391686432899664,0.13014737704711193,0.1392961743262303,0.1261162788236038,0.13923014772236514,0.14394284900972817,0.009846590434968022,0.8053097345132744,0.8810572687224669,0.8431835016178706,1.6863670032357412,3.3727340064714824,0.0033727340064714823,0.00647385642849654,0.005059101009707224,0.004787489425260799,0.008431835016178706,0.001414755418789316
cto_sort,2013-05,2013-06,-0.12573066599677118,-0.14167564067061333,-0.16077469263225072,-0.1571560688095926,-0.16275330211948721,-0.15001357309949068,-0.17468406205710438,-0.15489825133980206,-0.16557285207922284,-0.1571056080517056,-0.03137494205493441,0.808695652173913,0.8571428571428572,0.8329192546583851,1.6658385093167702,3.3316770186335405,0.0033316770186335404,-0.034706619073567944,0.00499751552795031,-0.03637245758288472,0.008329192546583852,-0.03970413460151826
cto_sort,2013-06,2013-07,0.11354780406062341,0.08496622698786133,0.09292006537517422,0.07625223132667007,0.07869744945735517,0.06420178678615879,0.057286503412897,0.05718625935335142,0.04995991440407612,0.03736854776804167,-0.07617925629258174,0.7391304347826086,0.9047619047619048,0.8219461697722568,1.6438923395445135,3.287784679089027,0.0032877846790890274,-0.07946704097167076,0.004931677018633541,-0.08111093331121527,0.008219461697722568,-0.08439871799030431
cto_sort,2013-07,2013-08,0.06528186044217187,0.05654170410211823,0.07812285949176125,0.08408958409367508,0.0890462565617545,0.10090348427074873,0.09546046661390281,0.09715132082618781,0.09224860319649868,0.08479120529602185,0.01950934485384999,0.7124463519313304,0.8669527896995708,0.7896995708154506,1.5793991416309012,3.1587982832618025,0.0031587982832618025,0.016350546570588185,0.004738197424892704,0.014771147428957285,0.007896995708154506,0.011612349145695483
cto_sort,2013-08,2013-09,0.07031864034169563,0.05392920975860118,0.051291955432292494,0.049660685724830456,0.059997554380199,0.06956870066704644,0.05086399066333415,0.053268670264975095,0.04162092997754167,0.047886818592769435,-0.022431821748926196,0.7692307692307692,0.8297872340425532,0.7995090016366612,1.5990180032733223,3.1980360065466447,0.0031980360065466448,-0.025629857755472843,0.004797054009819967,-0.027228875758746163,0.007995090016366613,-0.03042691176529281
cto_sort,2013-09,2013-10,-0.04912747427456873,-0.02978089123105709,-0.04468658353899306,-0.024349480509060335,-0.020864615696105645,-0.0226231882796227,-0.01509514685424113,-0.016847533703002647,-0.017761590048653027,-0.014707887397586378,0.03441958687698236,0.7564102564102564,0.7829787234042553,0.7696944899072559,1.5393889798145117,3.0787779596290235,0.0030787779596290234,0.03134080891735333,0.004618166939443535,0.02980141993753882,0.007696944899072558,0.0267226419779098
cto_sort,2013-10,2013-11,0.08572662965199439,0.07941610881848069,0.08664336506666974,0.0863438661367905,0.09031014784939949,0.08038742571502965,0.0935939062064129,0.09190847486175836,0.0854220858872633,0.08637233994179366,0.0006457102897992756,0.7574468085106383,0.847457627118644,0.8024522178146412,1.6049044356292823,3.2098088712585646,0.003209808871258565,-0.0025640985814592895,0.004814713306887847,-0.004169003017088571,0.008024522178146412,-0.007378811888347136
cto_sort,2013-11,2013-12,-0.06325873924370187,-0.0478778508079625,-0.03031651434019525,-0.02755952602195138,-0.01896216561748339,-0.02248443004569306,-0.01585539798463092,-0.023078606992656094,-0.03141031287379729,-0.048885566051311745,0.014373173192390128,0.6923076923076923,0.8765957446808511,0.7844517184942716,1.5689034369885433,3.1378068739770866,0.003137806873977087,0.01123536631841304,0.00470671031096563,0.009666462881424497,0.007844517184942716,0.0065286560074474115
cto_sort,2013-12,2014-01,0.07647333385699875,0.06796100930098807,0.04681408037241037,0.016570001033765856,0.016843937226283686,-0.0006801223575330273,-0.0015020179281557495,-0.015341537684686829,-0.013314202586706172,0.006710757455267022,-0.06976257640173174,0.7574468085106383,0.8813559322033898,0.819401370357014,1.638802740714028,3.277605481428056,0.0032776054814280557,-0.07304018188315979,0.004916408222142084,-0.07467898462387382,0.00819401370357014,-0.07795659010530187
cto_sort,2014-01,2014-02,0.021509204901681983,0.030068511969038727,0.04161533729153629,0.028415620229620856,0.03623981212038119,0.035513120048664214,0.028606515082120875,0.03811700891795066,0.035620526243558596,0.04631811712842347,0.02480891222674149,0.7276595744680852,0.902127659574468,0.8148936170212766,1.6297872340425532,3.2595744680851064,0.003259574468085106,0.021549337758656383,0.00488936170212766,0.01991955052461383,0.008148936170212766,0.016659976056528723
cto_sort,2014-02,2014-03,-0.05633845226656723,-0.036244288519854444,-0.02313278093806901,-0.01879439473783475,-0.01311892102823361,-0.009814995306280468,-0.010038233443229473,-0.011161777009102676,-0.03138703693125236,-0.05174799093990495,0.004590461326662278,0.7241379310344828,0.8412017167381974,0.7826698238863401,1.5653396477726802,3.1306792955453604,0.0031306792955453602,0.0014597820311169174,0.004696018943318041,-0.00010555761665576296,0.007826698238863401,-0.0032362369122011236
cto_sort,2014-03,2014-04,-0.02115077946496442,-0.023304906099228428,-0.0163848376361721,-0.01093347717350001,-0.01968127935882552,-0.003332292755123376,-0.013011714050505871,-0.008358275918759645,-0.013426750278207202,-0.007342712685240071,0.013808066779724348,0.7692307692307692,0.8808510638297873,0.8250409165302782,1.6500818330605564,3.300163666121113,0.003300163666121113,0.010507903113603235,0.004950245499181669,0.00885782128054268,0.008250409165302782,0.005557657614421566
cto_sort,2014-04,2014-05,0.03484046221181618,0.0377991957992426,0.031203818258625875,0.02090119741962082,0.02993821707255335,0.029732261095742483,0.028209116198226414,0.020749293690242386,0.024323374934591493,0.026002749969510134,-0.008837712242306044,0.7327586206896552,0.8111587982832618,0.7719587094864585,1.543917418972917,3.087834837945834,0.003087834837945834,-0.011925547080251878,0.004631752256918751,-0.013469464499224796,0.007719587094864585,-0.01655729933717063
