model,formation_month,holding_month,ic,n
cto_sort,2013-01,2013-02,-0.010815069627247952,2197
cto_sort,2013-02,2013-03,0.032718825076398464,2214
cto_sort,2013-03,2013-04,0.04163144259506979,2242
cto_sort,2013-04,2013-05,-0.04609875482323217,2263
cto_sort,2013-05,2013-06,-0.06054397947908751,2302
cto_sort,2013-06,2013-07,-0.17136350466701888,2304
cto_sort,2013-07,2013-08,0.07994394357173425,2330
cto_sort,2013-08,2013-09,-0.04290297483980842,2342
cto_sort,2013-09,2013-10,0.09050019716883319,2345
cto_sort,2013-10,2013-11,0.015041043927500662,2354
cto_sort,2013-11,2013-12,0.098743362590299,2344
cto_sort,2013-12,2014-01,-0.22583374340520748,2353
cto_sort,2014-01,2014-02,0.044497556529329234,2350
cto_sort,2014-02,2014-03,0.042245639098409074,2324
cto_sort,2014-03,2014-04,0.07643595788425495,2347
cto_sort,2014-04,2014-05,-0.03173294092745983,2322
cto_sort,2014-05,2014-06,0.030406961489166644,2286
cto_sort,2014-06,2014-07,-0.03163777812197936,2296
cto_sort,2014-07,2014-08,-0.030794567247673793,2298
cto_sort,2014-08,2014-09,-0.08813806321484755,2293
cto_sort,2014-09,2014-10,0.028816421659987105,2299
cto_sort,2014-10,2014-11,0.02906573928265645,2267
cto_sort,2014-11,2014-12,0.1974179635995003,2267
cto_sort,2014-12,2015-01,-0.0019224621702699383,2287
cto_sort,2015-01,2015-02,0.042989924135172275,2302
cto_sort,2015-02,2015-03,-0.013062369995001733,2284
cto_sort,2015-03,2015-04,0.0022019368989142645,2299
cto_sort,2015-04,2015-05,-0.0424923853399229,2287
cto_sort,2015-05,2015-06,0.010434869754454184,2235
cto_sort,2015-06,2015-07,0.17669535675156,2218
cto_sort,2015-07,2015-08,-0.09562496252459501,2124
cto_sort,2015-08,2015-09,-0.014421348057017057,2134
cto_sort,2015-09,2015-10,0.05298993124755941,2134
cto_sort,2015-10,2015-11,-0.0258340289434316,2190
cto_sort,2015-11,2015-12,-0.04034118818057012,2273
cto_sort,2015-12,2016-01,0.04930040678346866,2364
cto_sort,2016-01,2016-02,0.07601149626673381,2392
cto_sort,2016-02,2016-03,-0.08970340645746555,2399
cto_sort,2016-03,2016-04,0.07078618628887738,2446
cto_sort,2016-04,2016-05,0.0887701691292119,2456
cto_sort,2016-05,2016-06,-0.07117123949594527,2468
cto_sort,2016-06,2016-07,0.19520657278118017,2503
cto_sort,2016-07,2016-08,0.019114858693845924,2543
cto_sort,2016-08,2016-09,0.0762920803244459,2563
cto_sort,2016-09,2016-10,-0.04430404463316371,2573
cto_sort,2016-10,2016-11,-0.02802732037286773,2566
cto_sort,2016-11,2016-12,-0.05528976609568028,2600
cto_sort,2016-12,2017-01,0.05545306837687586,2619
cto_sort,2017-01,2017-02,-0.011971747000076603,2617
cto_sort,2017-02,2017-03,0.12013105993596647,2606
cto_sort,2017-03,2017-04,0.11968762074396877,2632
cto_sort,2017-04,2017-05,0.08072023313571002,2638
cto_sort,2017-05,2017-06,0.07187571882680072,2618
cto_sort,2017-06,2017-07,0.07480270349046765,2622
cto_sort,2017-07,2017-08,0.009627680086895296,2646
cto_sort,2017-08,2017-09,0.0762383100750937,2675
cto_sort,2017-09,2017-10,0.18031997574842673,2725
cto_sort,2017-10,2017-11,0.10517991882896773,2748
cto_sort,2017-11,2017-12,0.00821507334794101,2805
cto_sort,2017-12,2018-01,0.05823893936104422,2824
cto_sort,2018-01,2018-02,0.029268984904514666,2881
cto_sort,2018-02,2018-03,0.01170520087132779,2853
cto_sort,2018-03,2018-04,0.137788163623574,2904
cto_sort,2018-04,2018-05,0.09386166335474252,2945
cto_sort,2018-05,2018-06,0.03942538301907626,3010
cto_sort,2018-06,2018-07,0.07875484811030267,3057
cto_sort,2018-07,2018-08,0.10451473339651392,3097
cto_sort,2018-08,2018-09,0.03143247223719262,3172
cto_sort,2018-09,2018-10,0.043063682937333043,3231
cto_sort,2018-10,2018-11,0.09200303688149561,3276
cto_sort,2018-11,2018-12,0.041713002970198476,3340
cto_sort,2018-12,2019-01,0.18931829257152213,3369
cto_sort,2019-01,2019-02,-0.22138279473528077,3389
cto_sort,2019-02,2019-03,0.06429287705244882,3400
cto_sort,2019-03,2019-04,0.1215830461953781,3410
cto_sort,2019-04,2019-05,0.028481271353934422,3424
cto_sort,2019-05,2019-06,0.02499247230987271,3377
cto_sort,2019-06,2019-07,0.09998247203532981,3382
cto_sort,2019-07,2019-08,0.09100754963024181,3385
cto_sort,2019-08,2019-09,0.06466046807869309,3391
cto_sort,2019-09,2019-10,0.07237577344655947,3399
cto_sort,2019-10,2019-11,0.02778608681050767,3406
cto_sort,2019-11,2019-12,-0.017165000094817293,3408
cto_sort,2019-12,2020-01,0.05760110247712903,3416
cto_sort,2020-01,2020-02,0.027850261294979632,3425
cto_sort,2020-02,2020-03,0.1698607578050694,3433
cto_sort,2020-03,2020-04,0.20981096737344784,3444
cto_sort,2020-04,2020-05,0.08232473162465576,3457
cto_sort,2020-05,2020-06,0.10690477647277795,3403
cto_sort,2020-06,2020-07,0.01977715200284467,3417
cto_sort,2020-07,2020-08,0.04914364396984853,3439
cto_sort,2020-08,2020-09,0.01740372759659601,3447
cto_sort,2020-09,2020-10,-0.012148057975066066,3455
cto_sort,2020-10,2020-11,0.010430887870553369,3464
cto_sort,2020-11,2020-12,0.031536207405230714,3499
cto_sort,2020-12,2021-01,0.17713866325479766,3527
cto_sort,2021-01,2021-02,0.007815981589147786,3545
cto_sort,2021-02,2021-03,-0.0034941214698425743,3563
cto_sort,2021-03,2021-04,0.12369941496222486,3583
cto_sort,2021-04,2021-05,-0.0478747252207222,3628
cto_sort,2021-05,2021-06,0.05815711609239566,3618
cto_sort,2021-06,2021-07,0.02990339683745555,3661
cto_sort,2021-07,2021-08,0.1341130399618807,3706
cto_sort,2021-08,2021-09,0.02555634966312602,3772
cto_sort,2021-09,2021-10,-0.03991639194127608,3834
cto_sort,2021-10,2021-11,0.08927376673670316,3854
cto_sort,2021-11,2021-12,9.999918025014836e-05,3882
cto_sort,2021-12,2022-01,0.07573319923458023,3936
cto_sort,2022-01,2022-02,0.03359531668983987,3966
cto_sort,2022-02,2022-03,-0.0669163290631174,3995
cto_sort,2022-03,2022-04,0.05946168040470903,4038
cto_sort,2022-04,2022-05,0.05079197928822696,4098
cto_sort,2022-05,2022-06,0.09440252477599971,4125
cto_sort,2022-06,2022-07,0.09963245700737987,4172
cto_sort,2022-07,2022-08,0.07217577770743579,4219
cto_sort,2022-08,2022-09,0.07745740478437921,4268
cto_sort,2022-09,2022-10,0.11573325633435744,4308
cto_sort,2022-10,2022-11,-0.06697328204821291,4342
cto_sort,2022-11,2022-12,-0.019600664285997143,4380
cto_sort,2022-12,2023-01,0.06051522122390107,4422
cto_sort,2023-01,2023-02,0.03438435769839366,4456
cto_sort,2023-02,2023-03,0.021389544533171316,4468
cto_sort,2023-03,2023-04,0.07770417256438676,4505
cto_sort,2023-04,2023-05,0.048557887786173405,4540
cto_sort,2023-05,2023-06,0.05087471242290422,4511
cto_sort,2023-06,2023-07,0.12063988046480142,4559
cto_sort,2023-07,2023-08,0.04929701486914109,4573
cto_sort,2023-08,2023-09,0.11235524589983677,4618
cto_sort,2023-09,2023-10,0.040116509970794315,4658
cto_sort,2023-10,2023-11,-0.00038485541040644567,4687
cto_sort,2023-11,2023-12,0.04656190643365506,4714
cto_sort,2023-12,2024-01,-0.00698557484265459,4741
cto_sort,2024-01,2024-02,-0.16782588150457609,4747
cto_sort,2024-02,2024-03,0.020108898028674167,4762
cto_sort,2024-03,2024-04,0.13061708688607274,4785
cto_sort,2024-04,2024-05,0.07862933360677929,4812
cto_sort,2024-05,2024-06,-0.023454654235778194,4773
cto_sort,2024-06,2024-07,0.06722062336803086,4817
cto_sort,2024-07,2024-08,0.1324278791137316,4856
cto_sort,2024-08,2024-09,-0.05065563891000217,4877
cto_sort,2024-09,2024-10,-0.026546955805333176,4890
cto_sort,2024-10,2024-11,0.03795241166255832,4898
cto_sort,2024-11,2024-12,0.06418060284330139,4905
cto_sort,2024-12,2025-01,0.06825103778787683,4918
cto_sort,2025-01,2025-02,-0.02959703491607653,4923
