feature,gain,gain_share
log_float_market_cap,32358.840584659618,0.20860375040912504
turnover_mean,29277.326757043567,0.18873853491425882
intraday_mean,21451.416298144002,0.13828820225103067
month_cumulative_return,16230.517234274279,0.10463127556413866
cto_mean,15409.39454372572,0.09933784509198312
cto_min,14140.45922245516,0.09115755611187869
cto_max,13234.355315548484,0.08531628770343329
cto_std,13018.77737453368,0.08392654795415178
