cto_zscore,mean_prediction
-3.347237281654883,0.0019596391531835505
-3.204054091530606,0.0025238383897058883
-3.0608709014063287,0.001785547546599022
-2.9176877112820514,0.0032043493111620284
-2.774504521157774,0.003409013664914686
-2.6313213310334964,0.002001159014230319
-2.488138140909219,0.001259387385228761
-2.344954950784942,0.00045058417480160366
-2.2017717606606646,-7.912787645829571e-05
-2.0585885705363873,-0.0013244818010651345
-1.91540538041211,-0.0020656424391167177
-1.7722221902878326,-0.0017576413874823282
-1.6290390001635553,-0.0015657135719830818
-1.485855810039278,-0.0013820685849983796
-1.3426726199150005,-0.0015961620651793863
-1.1994894297907233,-0.0015005182710802858
-1.056306239666446,-0.001267084720499029
-0.9131230495421687,-0.00028409802040941975
-0.7699398594178914,-0.0003642198432558288
-0.6267566692936142,-2.066961334342662e-05
-0.4835734791693369,-1.1029517642565316e-05
-0.3403902890450592,8.79560539925591e-06
-0.19720709892078192,0.0005749987670839936
-0.05402390879650465,0.0005171360385273063
0.08915928132777262,0.0005787752431901116
0.2323424714520499,0.0005373265967752798
0.37552566157632716,0.0006266569617377927
0.5187088517006044,0.0005530276356267546
0.6618920418248821,0.0004108993826876492
0.805075231949159,0.0008906719163025982
0.9482584220734367,0.00011111929957632968
1.0914416121977135,0.0020167125171850287
1.2346248023219912,0.0023407693556828906
1.377807992446269,0.0018634586196746986
1.5209911825705458,0.003309280719752684
1.6641743726948235,0.0015177910634162945
1.8073575628191003,0.0015861804024460335
1.950540752943378,0.0016855839919449518
2.093723943067655,0.0015234225521913542
2.2369071331919326,0.0012594160049615977
2.3800903233162094,0.0011673744648731874
