formation_month,holding_month,low_decile,high_decile,effective_bins,ew_long_short,vw_long_short,ew_nav,vw_nav,d1_return,d10_return,csi300_return,csi500_return,chinext_return
2019-01,2019-02,1,10,10,-0.0923611523952653,-0.2273581039409741,3.6112867106301954,3.9734412135174257,0.3056162876815784,0.2132551352863131,0.14609325928362193,0.20323799531327036,0.2505669848296439
2013-06,2013-07,1,10,10,-0.0750142808858188,-0.1044137620037378,1.4556498079598326,1.6576418856073087,0.1131636535123379,0.0381493726265191,-0.0034617217998953453,0.06018578606789893,0.12094589184695637
2013-12,2014-01,1,10,10,-0.0668228838262528,-0.1399749048410356,1.465382101816037,1.4759143090031173,0.0760128521127667,0.0091899682865139,-0.05475303709057322,0.014708417121516826,0.146831906927396
2024-01,2024-02,1,10,10,-0.0642826751637094,-0.0582967371951722,10.892732634958849,4.76486171867379,0.071030428901536,0.0067477537378266,0.09352967224301878,0.13834705605278774,0.1485106604484292
2024-09,2024-10,1,10,10,-0.0616626940041731,0.0011889892630635,11.531421807424644,5.124018692254861,0.1437278863064098,0.0820651923022366,-0.031562840316890495,0.027523494236766588,-0.004884679298961303
2022-02,2022-03,1,10,10,-0.0549327848228826,-0.0822500142876735,8.462540324337157,4.643691149760458,-0.014622311326251,-0.0695550961491336,-0.07836683755940199,-0.0770937468869961,-0.07698382660782543
