d1_subbin,months,mean_monthly_return,newey_west_t_lag5,mean_stocks_per_month
1,198,-0.016327574016957253,-10.298329176501888,62.733668341708544
2,198,-0.005234187113396737,-3.7084871095826566,63.08040201005025
3,198,-0.00043246800637312765,-0.30155821088178936,63.11055276381909
4,198,0.004146611214086433,2.9441149392963486,63.08040201005025
5,198,0.003966742047534392,2.8688560017480427,63.50753768844221
